기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명_x,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,상권_코드_명_y,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
20243,A,골목상권,3110435,서울과학기술대,CS100010,커피-음료,210302980,42260,153506619,56796361,30755360,30552401,29254583,30994371,31949904,27769330,29027031,0,27800568,77602347,48560223,47358050,8981792,93395037,97298453,7334786,69657572,35533981,37085689,32294073,8787389,31195,11065,6944,5865,6315,6031,6040,5520,5545,0,6592,14231,9761,9841,1835,21082,19860,1615,17933,7023,6500,6284,1588,서울과학기술대,206727,458887,11350,노원구,11350600,공릉2동,17818
20243,A,골목상권,3110438,경춘선숲길 우측,CS100010,커피-음료,188793535,29866,123360585,65432950,23784492,21419048,24671668,25555237,27930140,32212850,33220100,148058,16032064,55399794,48613408,53345105,15255106,72729415,106904361,1253352,38252240,49183997,44916757,30228803,15798625,19799,10067,3843,3635,4147,3879,4295,5217,4850,6,3131,8637,8789,7423,1880,13333,15999,191,6672,8358,6173,4643,3299,경춘선숲길 우측,206924,458484,11350,노원구,11350600,공릉2동,100071
20243,A,골목상권,3110442,화랑대철도공원,CS100010,커피-음료,42608075,7957,30611559,11996516,6816712,4989065,6640894,5793837,6371051,5469502,6527014,0,8420176,16167505,11678773,6341621,0,18014209,24593866,694277,6814134,7411375,13790843,11910833,1986613,5742,2215,1283,1042,1235,1103,1079,1051,1164,0,1164,3060,2367,1366,0,3520,4437,189,1518,1443,2542,1841,424,화랑대철도공원,207943,458309,11350,노원구,11350600,공릉2동,20050
20243,D,발달상권,3120084,공릉역,CS100010,커피-음료,931982185,108829,578348084,353634101,126921426,106910859,103228956,109170283,132116560,175641740,177992361,2128231,21431663,243628544,293372645,311608244,59812858,314340148,598237338,10144555,359382590,263805746,134423531,106445876,38375190,69826,39003,15418,13655,12315,13860,14578,19570,19433,270,4838,27688,33902,35224,6907,38619,69222,1370,42898,29351,15305,13132,5787,공릉역,206501,458455,11350,노원구,11350595,공릉1동,81040
20243,D,발달상권,3120086,태릉입구역,CS100010,커피-음료,583135752,96291,398385271,184750481,71646874,77767627,81145690,78689381,89135699,103959943,80790538,0,93087783,184817078,162432642,125526634,17271615,247560261,318716592,4654804,111289841,153002848,116661185,105281883,75386290,67988,28303,12941,13249,13540,13540,14718,16033,12270,0,19988,28415,24567,20570,2751,43072,52149,800,22414,25814,18103,16616,11477,태릉입구역,206799,457730,11350,노원구,11350595,공릉1동,72480
20243,R,전통시장,3130159,공릉동 도깨비시장,CS100010,커피-음료,16943683,1958,7776872,9166811,1624890,1553058,753732,1659207,2185985,4892001,4274810,0,78517,5147808,6170220,5547138,0,6132765,10633222,180176,2103591,4185084,3661199,3901609,2734328,939,1019,232,202,78,203,224,466,553,0,16,651,706,585,0,763,1170,16,224,383,413,532,364,공릉동 도깨비시장,206706,458084,11350,노원구,11350595,공릉1동,57720
20244,A,골목상권,3110429,공릉동 국수거리,CS100010,커피-음료,74277523,4665,45545967,28731556,7394531,9254690,9594608,8482438,10819700,14148147,14583409,0,3302807,27024489,19882949,20903641,3163637,25667407,41574368,723342,10830860,9879417,9333691,20574852,15899613,3071,1594,581,646,572,544,728,862,732,0,539,1465,1576,1029,56,1569,2619,89,1111,737,640,797,814,공릉동 국수거리,206455,457940,11350,노원구,11350595,공릉1동,160554
20244,A,골목상권,3110433,공릉역 2번,CS100010,커피-음료,201433153,9994,135862677,65570476,12734689,25835219,22700444,44052067,30540258,40681883,24888593,17336387,9967838,31826406,21680350,59800542,60821630,95522027,101803217,2411585,62502004,47155832,25012223,25566994,34676605,7028,2966,662,1497,1468,1743,1658,1738,1228,350,784,2242,2285,2729,1604,4416,5414,117,3100,2531,1286,1707,1089,공릉역 2번,206692,458322,11350,노원구,11350595,공릉1동,95309
20244,A,골목상권,3110434,태릉입구역 4번,CS100010,커피-음료,54215439,8970,35286676,18928763,9527106,5810603,4876594,9899710,5172663,10485517,8443246,0,254051,9806908,19827480,22389152,1937848,27457774,25451948,940045,10662417,11002930,15717112,5925466,8661752,5427,3543,1115,1037,1059,1149,1067,1855,1688,0,55,1836,3194,3425,460,3651,5263,303,2481,2261,2411,1055,402,태릉입구역 4번,206724,457916,11350,노원구,11350595,공릉1동,38090
20244,A,골목상권,3110435,서울과학기술대,CS100010,커피-음료,245599119,50685,177632035,67967084,34311474,37824216,33731681,38258779,33505885,35714305,32252779,0,26421152,95482097,55048964,55262797,13384109,113211780,116452109,9835896,98294023,36742797,35533223,38634260,10623687,37085,13600,7626,7753,7520,7451,6735,6911,6689,0,7167,18819,10993,11692,2014,25225,24330,2357,24041,7114,6198,8092,1754,서울과학기술대,206727,458887,11350,노원구,11350600,공릉2동,17818
20244,A,골목상권,3110438,경춘선숲길 우측,CS100010,커피-음료,183064696,31837,120154234,62910462,19332832,27715619,22586496,25126320,25392967,30697762,32212700,370145,15790675,64412125,48033331,47712900,6745520,67750322,105518216,1890444,38294819,41969264,44054770,29058791,18000451,21089,10748,3736,4710,4063,4254,4326,5692,5056,13,3498,9786,9786,7899,855,14056,17136,484,7505,7608,6541,5151,3905,경춘선숲길 우측,206924,458484,11350,노원구,11350600,공릉2동,100071
20244,A,골목상권,3110442,화랑대철도공원,CS100010,커피-음료,42922378,8383,29264133,13658245,5938944,5969724,5677545,6020950,5656970,6886626,6771619,0,11232046,14708726,11740563,5241043,0,15658539,27263839,655800,7788999,9107050,10591874,12999234,1779421,5876,2507,1152,1144,1255,1174,1151,1314,1193,0,1814,2946,2393,1230,0,3168,5215,201,2074,1854,2193,1737,324,화랑대철도공원,207943,458309,11350,노원구,11350600,공릉2동,20050
20244,D,발달상권,3120084,공릉역,CS100010,커피-음료,1130304222,121352,709219131,421085091,140217586,145210742,155175394,131670131,136945278,209562210,211522881,9154772,24993098,290260834,370681309,323894896,111319313,414767309,712375982,21912172,458593335,285843049,149228561,168304519,43261653,77702,43650,14540,16430,16690,13805,16237,22278,21372,676,5432,29288,40846,34121,10989,46771,74306,2293,50216,28717,16341,17757,5752,공릉역,206501,458455,11350,노원구,11350595,공릉1동,81040
20244,D,발달상권,3120086,태릉입구역,CS100010,커피-음료,496844756,84822,337756144,159088612,58941774,77898962,66213387,66256008,68446013,87048514,72040098,0,81565440,155070972,143079099,106084258,11044987,212112968,268649384,6768892,100169400,129007621,85241994,87848783,71725659,60061,24761,11160,13260,11713,11772,12156,13741,11020,0,17597,25067,22512,17553,2093,37600,45878,1209,20617,22401,14012,15041,10199,태릉입구역,206799,457730,11350,노원구,11350595,공릉1동,72480
20244,R,전통시장,3130159,공릉동 도깨비시장,CS100010,커피-음료,12915461,1146,8368451,4547010,1081627,1830265,357945,2435846,2662768,3115283,1431727,0,90914,3718851,5690506,3273086,142104,2978498,9463498,0,2005868,2952971,4703490,1879613,900054,693,453,122,169,56,151,195,244,209,0,17,347,497,254,31,346,783,0,239,246,218,293,132,공릉동 도깨비시장,206706,458084,11350,노원구,11350595,공릉1동,57720
